"FOLIO","SEXO","OPC_ED01"
330308471,"M","S054000"
330303303,"M","S054000"
330308707,"M","S054000"
330108732,"M","S054000"
330207805,"M","S054000"
310302677,"M","S054000"
310409203,"M","S054000"
330308043,"M","S054000"
330104174,"M","S054000"
330308747,"M","S054000"
330107709,"M","S054000"
330401862,"M","S054000"
330507135,"M","S054000"
330101142,"M","S054000"
330308535,"M","S054000"
330102189,"M","S054000"
330500592,"M","S054000"
330200685,"M","S054000"
330502889,"M","S054000"
330207740,"M","S054000"
330405142,"M","S054000"
330103951,"M","S054000"
310505050,"M","S054000"
330307446,"M","S054000"
20201062,"M","S054000"
11734198,"M","S054000"
330108039,"M","S054000"
330301220,"M","S054000"
310502562,"M","S054000"
310709275,"M","S054000"
330106968,"M","S054000"
330500700,"M","S054000"
330108367,"M","S054000"
330306699,"M","S054000"
330502064,"M","S054000"
310905495,"M","S054000"
311000090,"M","S054000"
330103775,"M","S054000"
330505471,"M","S054000"
330102084,"M","S054000"
310505481,"M","S054000"
330401943,"M","S054000"
330500577,"M","S054000"
330302336,"M","S054000"
330501719,"M","S054000"
330105153,"M","S054000"
330407211,"M","S054000"
310608706,"M","S054000"
330505482,"M","S054000"
330504087,"M","S054000"
330504156,"M","S054000"
330100179,"M","S054000"
330401527,"M","S054000"
330305655,"M","S054000"
250101661,"M","S054000"
330503138,"M","S054000"
330402253,"M","S054000"
330303828,"M","S054000"
330104100,"M","S054000"
330304720,"M","S054000"
330600263,"M","S054000"
330507442,"M","S054000"
330104264,"M","S054000"
330201420,"M","S054000"
310204359,"M","S054000"
330203688,"M","S054000"
330304958,"M","S054000"
330104555,"M","S054000"
330504876,"M","S054000"
310404638,"M","S054000"
330106710,"M","S054000"
330506898,"M","S054000"
330208798,"M","S054000"
330308308,"M","S054000"
330302674,"M","S054000"
330207600,"M","S054000"
310800262,"M","S054000"
330403787,"M","S054000"
330505417,"M","S054000"
330204708,"M","S054000"
330104430,"M","S054000"
330208510,"M","S054000"
330303403,"M","S054000"
330204854,"M","S054000"
13045985,"M","S054000"
311001016,"M","S054000"
330308299,"M","S054000"
330300794,"M","S054000"
12348865,"M","S054000"
330305553,"M","S054000"
330304600,"M","S054000"
330306034,"M","S054000"
330100316,"M","S054000"
330102783,"M","S054000"
330103326,"M","S054000"
310909261,"M","S054000"
330108098,"M","S054000"
330501534,"M","S054000"
330506340,"M","S054000"
330401523,"M","S054000"
310201360,"M","S054000"
310304802,"M","S054000"
330305826,"M","S054000"
330104287,"M","S054000"
330100837,"M","S054000"
311006130,"M","S054000"
330206567,"M","S054000"
330207231,"M","S054000"
330406636,"M","S054000"
330505748,"M","S054000"
330208019,"M","S054000"
330106730,"M","S054000"
330300442,"M","S054000"
330405541,"M","S054000"
330504863,"M","S054000"
330106760,"M","S054000"
330205973,"M","S054000"
330105796,"M","S054000"
330408751,"M","S054000"
330503986,"M","S054000"
330208159,"M","S054000"
330308470,"M","S054000"
330303162,"M","S054000"
330505904,"M","S054000"
330103362,"M","S054000"
330501334,"M","S054000"
330402639,"M","S054000"
330302394,"M","S054000"
330304030,"M","S054000"
311005845,"M","S054000"
330407004,"M","S054000"
330500918,"M","S054000"
330304153,"M","S054000"
330301261,"M","S054000"
310310874,"M","S054000"
330201742,"M","S054000"
330503452,"M","S054000"
310604068,"M","S054000"
330200752,"M","S054000"
300104104,"M","S054000"
330506918,"M","S054000"
330305243,"M","S054000"
310705573,"M","S054000"
330504893,"M","S054000"
13239421,"M","S054000"
330100133,"M","S054000"
310606890,"M","S054000"
12434182,"M","S054000"
330107968,"M","S054000"
330206132,"M","S054000"
310803607,"M","S054000"
330508437,"M","S054000"
330504817,"M","S054000"
330500941,"M","S054000"
330101989,"M","S054000"
330402303,"M","S054000"
330101795,"M","S054000"
330103055,"M","S054000"
330206991,"M","S054000"
13207188,"M","S054000"
310606300,"M","S054000"
330502814,"M","S054000"
330504160,"M","S054000"
330108677,"M","S054000"
330305898,"M","S054000"
310609845,"M","S054000"
330306877,"M","S054000"
330102745,"M","S054000"
330408690,"M","S054000"
330401984,"M","S054000"
330203902,"M","S054000"
330407976,"M","S054000"
330401515,"M","S054000"
330305695,"M","S054000"
330206590,"M","S054000"
310202957,"M","S054000"
330302143,"M","S054000"
330507743,"M","S054000"
330200355,"M","S054000"
330301790,"M","S054000"
330307016,"M","S054000"
310200544,"M","S054000"
330501517,"M","S054000"
330500674,"M","S054000"
330201449,"M","S054000"
330107179,"M","S054000"
330502204,"M","S054000"
310402058,"M","S054000"
330306827,"M","S054000"
330401153,"M","S054000"
330501598,"M","S054000"
330506470,"M","S054000"
330108666,"M","S054000"
330308173,"M","S054000"
330208077,"M","S054000"
330106155,"M","S054000"
330206421,"M","S054000"
330107925,"M","S054000"
330102452,"M","S054000"
330407160,"M","S054000"
330302760,"M","S054000"
11740070,"M","S054000"
330502879,"M","S054000"
330505215,"M","S054000"
330407822,"M","S054000"
13634471,"M","S054000"
330405645,"M","S054000"
311010617,"M","S054000"
310704132,"M","S054000"
